0.008032,0,0
0.017572,0,0
0.027108,0,0
0.036636,0,0
0.046188,0,0
0.05572,0,0
0.065252,0,0
0.074804,0,0
0.084336,0,0
0.093868,0,0
0.10342,0,0
0.112972,0,0
0.122504,0,0
0.132056,0,0
0.141608,0,0
0.15114,0,0
0.16068,0,0
0.170224,0,0
0.179756,0,0
0.189296,0,0
0.198836,0,0
0.208376,0,0
0.217908,0,0
0.22746,0,0
0.236992,0,0
0.246524,0,0
0.256072,0,0
0.265604,0,0
0.275136,0,0
0.284688,0,0
0.294236,0,0
0.303768,0,0
0.31332,0,0
0.322872,0,0
0.332404,0,0
0.34194,0,0
0.351492,0,0
0.361024,0,0
0.370564,0,0
0.380108,0,0
0.389644,0,0
0.399176,0,0
0.408724,0,0
0.418256,0,0
0.427792,0,0
0.43734,0,0
0.446872,0,0
0.456404,0,0
0.465956,0,0
0.475504,0,0
0.485032,0,0
0.49458,0,0
0.504128,0,0
0.51366,0,0
0.523208,0,0
0.53276,0,0
0.542292,0,0
0.551828,0,0
0.56138,0,0
0.570916,0,0
0.580452,0,0
0.590004,0,0
0.59954,0,0
0.609072,0,0
0.618624,0,0
0.628156,0,0
0.637692,0,0
0.64724,0,0
0.656772,0,0
0.666308,0,0
0.675856,0,0
0.685396,0,0
0.694936,0,0
0.70448,0,0
0.714032,0,0
0.723568,0,0
0.733108,0,0
0.742652,0,0
0.752184,0,0
0.76172,0,0
0.771268,0,0
0.7808,0,0
0.790336,0,0
0.799884,0,0
0.809416,0,0
0.818952,0,0
0.8285,0,0
0.838032,0,0
0.847568,0,0
0.857116,0,0
0.86666,0,0
0.876196,0,0
0.885748,0,0
0.8953,0,0
0.904832,0,0
0.91438,0,0
0.923932,0,0
0.933468,0,0
0.943008,0,0
0.952552,0,0
0.962084,0,0
0.971624,0,0
0.981168,0,0
0.9907,0,0
1.000236,0,0
1.009788,0,0
1.019312,0,1
1.028852,0.82,1
1.038444,2.25,1
1.048052,3.47,1
1.057652,4.3,1
1.067256,5.11,1
1.07686,6.13,1
1.08648,6.74,1
1.096096,7.35,1
1.105708,8.17,1
1.115336,8.57,1
1.124944,8.99,1
1.13458,9.58,1
1.144216,9.78,1
1.153824,10.01,1
1.163488,10.36,1
1.173152,10.57,1
1.18284,10.94,1
1.192504,10.97,1
1.20218,11.36,1
